Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,22,11,0,2020-04-24
Andhra Pradesh,955,145,29,2020-04-24
Arunachal Pradesh,1,1,0,2020-04-24
Assam,36,19,1,2020-04-24
Bihar,176,46,2,2020-04-24
Chandigarh,27,14,0,2020-04-24
Chhattisgarh,36,28,0,2020-04-24
Delhi,2376,808,50,2020-04-24
Goa,7,7,0,2020-04-24
Gujarat,2624,258,112,2020-04-24
Haryana,272,156,3,2020-04-24
Himachal Pradesh,40,18,1,2020-04-24
Jammu and Kashmir,427,92,5,2020-04-24
Jharkhand,55,8,3,2020-04-24
Karnataka,463,150,18,2020-04-24
Kerala,448,324,3,2020-04-24
Ladakh,18,14,0,2020-04-24
Madhya Pradesh,1852,203,83,2020-04-24
Maharashtra,6430,840,283,2020-04-24
Manipur,2,2,0,2020-04-24
Meghalaya,12,0,1,2020-04-24
Mizoram,1,0,0,2020-04-24
Odisha,90,33,1,2020-04-24
Puducherry,7,3,0,2020-04-24
Punjab,277,65,16,2020-04-24
Rajasthan,1964,230,27,2020-04-24
Tamil Nadu,1683,752,20,2020-04-24
Telengana,984,253,26,2020-04-24
Tripura,2,1,0,2020-04-24
Uttarakhand,47,24,0,2020-04-24
Uttar Pradesh,1604,206,24,2020-04-24
West Bengal,514,103,15,2020-04-24
