Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andhra Pradesh,19,1,0,30.03.2020
Andaman and Nicobar Islands,9,0,0,30.03.2020
Bihar,11,0,1,30.03.2020
Chandigarh,8,0,0,30.03.2020
Chhattisgarh,7,0,0,30.03.2020
Delhi,53,6,2,30.03.2020
Goa,5,0,0,30.03.2020
Gujarat,58,1,5,30.03.2020
Haryana,33,17,0,30.03.2020
Himachal Pradesh,3,0,1,30.03.2020
Jammu and Kashmir,31,1,2,30.03.2020
Karnataka,80,5,3,30.03.2020
Kerala,194,19,1,30.03.2020
Ladakh,13,3,0,30.03.2020
Madhya Pradesh,33,0,2,30.03.2020
Maharashtra,193,25,8,30.03.2020
Manipur,1,0,0,30.03.2020
Mizoram,1,0,0,30.03.2020
Odisha,3,0,0,30.03.2020
Puducherry,1,0,0,30.03.2020
Punjab,38,1,1,30.03.2020
Rajasthan,57,3,0,30.03.2020
Tamil Nadu,50,4,1,30.03.2020
Telengana,69,1,1,30.03.2020
Uttarakhand,7,2,0,30.03.2020
Uttar Pradesh,75,11,0,30.03.2020
West Bengal,19,0,1,30.03.2020
