Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,12,11,0,4/18/2020
Andhra Pradesh,603,42,15,4/18/2020
Arunachal Pradesh,1,0,0,4/18/2020
Assam,35,9,1,4/18/2020
Bihar,85,37,2,4/18/2020
Chandigarh,21,9,0,4/18/2020
Chhattisgarh,36,24,0,4/18/2020
Delhi,1707,72,42,4/18/2020
Goa,7,6,0,4/18/2020
Gujarat,1272,88,48,4/18/2020
Haryana,225,43,3,4/18/2020
Himachal Pradesh,38,16,1,4/18/2020
Jammu and Kashmir,328,42,5,4/18/2020
Jharkhand,33,0,2,4/18/2020
Karnataka,371,92,13,4/18/2020
Kerala,396,255,3,4/18/2020
Ladakh,18,14,0,4/18/2020
Madhya Pradesh,1355,69,69,4/18/2020
Maharashtra,3323,331,201,4/18/2020
Manipur,2,1,0,4/18/2020
Meghalaya,11,0,1,4/18/2020
Mizoram,1,0,0,4/18/2020
Nagaland#,0,0,0,4/18/2020
Odisha,60,21,1,4/18/2020
Puducherry,7,3,0,4/18/2020
Punjab,202,27,13,4/18/2020
Rajasthan,1229,183,11,4/18/2020
Tamil Nadu,1323,283,15,4/18/2020
Telengana,791,186,18,4/18/2020
Tripura,2,1,0,4/18/2020
Uttarakhand,42,9,0,4/18/2020
Uttar Pradesh,969,86,14,4/18/2020
West Bengal,287,55,10,4/18/2020
