Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,33,11,0,2020-04-27
Andhra Pradesh,1177,235,31,2020-04-27
Arunachal Pradesh,1,1,0,2020-04-27
Assam,36,27,1,2020-04-27
Bihar,277,56,2,2020-04-27
Chandigarh,30,17,0,2020-04-27
Chhattisgarh,37,32,0,2020-04-27
Delhi,2918,877,54,2020-04-27
Goa,7,7,0,2020-04-27
Gujarat,3301,313,151,2020-04-27
Haryana,289,176,3,2020-04-27
Himachal Pradesh,40,22,1,2020-04-27
Jammu and Kashmir,523,137,6,2020-04-27
Jharkhand,82,13,3,2020-04-27
Karnataka,511,188,20,2020-04-27
Kerala,469,342,4,2020-04-27
Ladakh,20,14,0,2020-04-27
Madhya Pradesh,2168,302,106,2020-04-27
Maharashtra,8068,1188,342,2020-04-27
Manipur,2,2,0,2020-04-27
Meghalaya,12,0,1,2020-04-27
Mizoram,1,0,0,2020-04-27
Odisha,108,35,1,2020-04-27
Puducherry,8,3,0,2020-04-27
Punjab,313,71,18,2020-04-27
Rajasthan,2185,518,41,2020-04-27
Tamil Nadu,1885,1020,24,2020-04-27
Telengana,1002,280,26,2020-04-27
Tripura,2,2,0,2020-04-27
Uttarakhand,51,33,0,2020-04-27
Uttar Pradesh,1955,335,31,2020-04-27
West Bengal,649,105,20,2020-04-27
