Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,11,10,0,4/17/2020
Andhra Pradesh,534,20,14,4/17/2020
Arunachal Pradesh,1,0,0,4/17/2020
Assam,35,5,1,4/17/2020
Bihar,80,37,1,4/17/2020
Chandigarh,21,9,0,4/17/2020
Chhattisgarh,33,23,0,4/17/2020
Delhi,1640,51,38,4/17/2020
Goa,7,6,0,4/17/2020
Gujarat,930,73,36,4/17/2020
Haryana,205,43,3,4/17/2020
Himachal Pradesh,35,16,1,4/17/2020
Jammu and Kashmir,314,38,4,4/17/2020
Jharkhand,28,0,2,4/17/2020
Karnataka,315,82,13,4/17/2020
Kerala,395,245,3,4/17/2020
Ladakh,18,14,0,4/17/2020
Madhya Pradesh,1120,64,53,4/17/2020
Maharashtra,3205,300,194,4/17/2020
Manipur,2,1,0,4/17/2020
Meghalaya,7,0,1,4/17/2020
Mizoram,1,0,0,4/17/2020
Nagaland#,0,0,0,4/17/2020
Odisha,60,19,1,4/17/2020
Puducherry,7,1,0,4/17/2020
Punjab,186,27,13,4/17/2020
Rajasthan,1131,164,3,4/17/2020
Tamil Nadu,1267,180,15,4/17/2020
Telengana,700,186,18,4/17/2020
Tripura,2,1,0,4/17/2020
Uttarakhand,37,9,0,4/17/2020
Uttar Pradesh,805,74,13,4/17/2020
West Bengal,255,51,10,4/17/2020
