Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,33,32,0,2020-05-05
Andhra Pradesh,1717,589,36,2020-05-05
Arunachal Pradesh,1,1,0,2020-05-05
Assam,43,32,1,2020-05-05
Bihar,529,130,4,2020-05-05
Chandigarh,102,21,1,2020-05-05
Chhattisgarh,58,36,0,2020-05-05
Delhi,4898,1431,64,2020-05-05
Goa,7,7,0,2020-05-05
Gujarat,5804,1195,319,2020-05-05
Haryana,517,254,6,2020-05-05
Himachal Pradesh,41,38,1,2020-05-05
Jammu and Kashmir,726,303,8,2020-05-05
Jharkhand,115,27,3,2020-05-05
Karnataka,659,324,28,2020-05-05
Kerala,500,462,4,2020-05-05
Ladakh,41,17,0,2020-05-05
Madhya Pradesh,3049,1000,176,2020-05-05
Maharashtra,14541,2465,583,2020-05-05
Manipur,2,2,0,2020-05-05
Meghalaya,12,10,1,2020-05-05
Mizoram,1,0,0,2020-05-05
Odisha,170,60,1,2020-05-05
Puducherry,9,6,0,2020-05-05
Punjab,1233,128,23,2020-05-05
Rajasthan,3061,1394,77,2020-05-05
Tamil Nadu,3550,1409,31,2020-05-05
Telengana,1085,585,29,2020-05-05
Tripura,29,2,0,2020-05-05
Uttarakhand,60,39,1,2020-05-05
Uttar Pradesh,2859,944,53,2020-05-05
West Bengal,1259,218,133,2020-05-05
