Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,16,11,0,2020-04-21
Andhra Pradesh,757,96,22,2020-04-21
Arunachal Pradesh,1,1,0,2020-04-21
Assam,35,19,1,2020-04-21
Bihar,114,42,2,2020-04-21
Chandigarh,26,13,0,2020-04-21
Chhattisgarh,36,25,0,2020-04-21
Delhi,2081,431,47,2020-04-21
Goa,7,7,0,2020-04-21
Gujarat,2066,131,77,2020-04-21
Haryana,254,127,3,2020-04-21
Himachal Pradesh,39,16,1,2020-04-21
Jammu and Kashmir,368,71,5,2020-04-21
Jharkhand,46,0,2,2020-04-21
Karnataka,415,114,17,2020-04-21
Kerala,408,291,3,2020-04-21
Ladakh,18,14,0,2020-04-21
Madhya Pradesh,1540,127,76,2020-04-21
Maharashtra,4669,572,232,2020-04-21
Manipur,2,2,0,2020-04-21
Meghalaya,11,0,1,2020-04-21
Mizoram,1,0,0,2020-04-21
Nagaland,0,0,0,2020-04-21
Odisha,74,24,1,2020-04-21
Puducherry,7,3,0,2020-04-21
Punjab,245,39,16,2020-04-21
Rajasthan,1576,205,25,2020-04-21
Tamil Nadu,1520,457,17,2020-04-21
Telengana,919,190,23,2020-04-21
Tripura,2,1,0,2020-04-21
Uttarakhand,46,18,0,2020-04-21
Uttar Pradesh,1294,140,20,2020-04-21
West Bengal,392,73,12,2020-04-21
