Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,33,16,0,2020-05-02
Andhra Pradesh,1525,441,33,2020-05-02
Arunachal Pradesh,1,1,0,2020-05-02
Assam,43,32,1,2020-05-02
Bihar,471,98,3,2020-05-02
Chandigarh,88,17,0,2020-05-02
Chhattisgarh,43,36,0,2020-05-02
Delhi,3738,1167,61,2020-05-02
Goa,7,7,0,2020-05-02
Gujarat,4721,735,236,2020-05-02
Haryana,360,227,4,2020-05-02
Himachal Pradesh,40,30,1,2020-05-02
Jammu and Kashmir,639,247,8,2020-05-02
Jharkhand,111,20,3,2020-05-02
Karnataka,598,255,25,2020-05-02
Kerala,498,392,4,2020-05-02
Ladakh,22,17,0,2020-05-02
Madhya Pradesh,2719,524,145,2020-05-02
Maharashtra,11506,1879,485,2020-05-02
Manipur,2,2,0,2020-05-02
Meghalaya,12,0,1,2020-05-02
Mizoram,1,0,0,2020-05-02
Odisha,154,55,1,2020-05-02
Puducherry,8,5,0,2020-05-02
Punjab,772,112,20,2020-05-02
Rajasthan,2666,1116,62,2020-05-02
Tamil Nadu,2526,1312,28,2020-05-02
Telengana,1057,441,26,2020-05-02
Tripura,2,2,0,2020-05-02
Uttarakhand,58,37,0,2020-05-02
Uttar Pradesh,2455,656,43,2020-05-02
West Bengal,795,139,33,2020-05-02
