Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andhra Pradesh,132,1,1,2020-04-03
Andaman and Nicobar Islands,10,0,0,2020-04-03
Arunachal Pradesh,1,0,0,2020-04-03
Assam,16,0,0,2020-04-03
Bihar,29,0,1,2020-04-03
Chandigarh,18,0,0,2020-04-03
Chhattisgarh,9,3,0,2020-04-03
Delhi,219,8,4,2020-04-03
Goa,6,0,0,2020-04-03
Gujarat,95,10,8,2020-04-03
Haryana,49,24,0,2020-04-03
Himachal Pradesh,6,1,1,2020-04-03
Jammu and Kashmir,75,3,2,2020-04-03
Jharkhand,2,0,0,2020-04-03
Karnataka,124,10,3,2020-04-03
Kerala,286,27,2,2020-04-03
Ladakh,14,3,0,2020-04-03
Madhya Pradesh,104,0,6,2020-04-03
Maharashtra,335,42,16,2020-04-03
Manipur,2,0,0,2020-04-03
Mizoram,1,0,0,2020-04-03
Odisha,5,0,0,2020-04-03
Puducherry,5,1,0,2020-04-03
Punjab,48,1,5,2020-04-03
Rajasthan,167,3,0,2020-04-03
Tamil Nadu,309,6,1,2020-04-03
Telengana,158,1,7,2020-04-03
Uttarakhand,10,2,0,2020-04-03
Uttar Pradesh,172,14,2,2020-04-03
West Bengal,63,3,3,2020-04-03
2547*,163,62,,2020-04-03
