Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,33,32,0,2020-05-04
Andhra Pradesh,1650,524,36,2020-05-04
Arunachal Pradesh,1,1,0,2020-05-04
Assam,43,32,1,2020-05-04
Bihar,517,125,4,2020-05-04
Chandigarh,94,19,0,2020-05-04
Chhattisgarh,57,36,0,2020-05-04
Delhi,4549,1362,64,2020-05-04
Goa,7,7,0,2020-05-04
Gujarat,5428,1042,290,2020-05-04
Haryana,442,245,5,2020-05-04
Himachal Pradesh,40,34,1,2020-05-04
Jammu and Kashmir,701,287,8,2020-05-04
Jharkhand,115,22,3,2020-05-04
Karnataka,642,304,26,2020-05-04
Kerala,500,401,4,2020-05-04
Ladakh,41,17,0,2020-05-04
Madhya Pradesh,2942,798,165,2020-05-04
Maharashtra,12974,2115,548,2020-05-04
Manipur,2,2,0,2020-05-04
Meghalaya,12,0,1,2020-05-04
Mizoram,1,0,0,2020-05-04
Odisha,163,60,1,2020-05-04
Puducherry,8,5,0,2020-05-04
Punjab,1102,117,21,2020-05-04
Rajasthan,2886,1356,71,2020-05-04
Tamil Nadu,3023,1379,30,2020-05-04
Telengana,1082,490,29,2020-05-04
Tripura,16,2,0,2020-05-04
Uttarakhand,60,39,1,2020-05-04
Uttar Pradesh,2742,758,45,2020-05-04
West Bengal,963,151,35,2020-05-04
