Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,18,11,0,2020-04-23
Andhra Pradesh,895,141,27,2020-04-23
Arunachal Pradesh,1,1,0,2020-04-23
Assam,35,19,1,2020-04-23
Bihar,148,46,2,2020-04-23
Chandigarh,27,14,0,2020-04-23
Chhattisgarh,36,28,0,2020-04-23
Delhi,2248,724,48,2020-04-23
Goa,7,7,0,2020-04-23
Gujarat,2407,179,103,2020-04-23
Haryana,262,140,3,2020-04-23
Himachal Pradesh,40,18,1,2020-04-23
Jammu and Kashmir,407,92,5,2020-04-23
Jharkhand,49,8,3,2020-04-23
Karnataka,443,141,17,2020-04-23
Kerala,438,324,3,2020-04-23
Ladakh,18,14,0,2020-04-23
Madhya Pradesh,1695,148,81,2020-04-23
Maharashtra,5652,789,269,2020-04-23
Manipur,2,2,0,2020-04-23
Meghalaya,12,0,1,2020-04-23
Mizoram,1,0,0,2020-04-23
Odisha,83,32,1,2020-04-23
Puducherry,7,3,0,2020-04-23
Punjab,277,65,16,2020-04-23
Rajasthan,1890,230,27,2020-04-23
Tamil Nadu,1629,662,18,2020-04-23
Telengana,960,197,24,2020-04-23
Tripura,2,1,0,2020-04-23
Uttarakhand,46,23,0,2020-04-23
Uttar Pradesh,1509,187,21,2020-04-23
West Bengal,456,79,15,2020-04-23
