Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,33,16,0,2020-05-01
Andhra Pradesh,1463,403,33,2020-05-01
Arunachal Pradesh,1,1,0,2020-05-01
Assam,42,29,1,2020-05-01
Bihar,426,82,2,2020-05-01
Chandigarh,56,17,0,2020-05-01
Chhattisgarh,40,36,0,2020-05-01
Delhi,3515,1094,59,2020-05-01
Goa,7,7,0,2020-05-01
Gujarat,4395,613,214,2020-05-01
Haryana,313,209,3,2020-05-01
Himachal Pradesh,40,28,1,2020-05-01
Jammu and Kashmir,614,216,8,2020-05-01
Jharkhand,111,20,3,2020-05-01
Karnataka,576,235,22,2020-05-01
Kerala,497,383,4,2020-05-01
Ladakh,22,16,0,2020-05-01
Madhya Pradesh,2719,482,137,2020-05-01
Maharashtra,10498,1773,459,2020-05-01
Manipur,2,2,0,2020-05-01
Meghalaya,12,0,1,2020-05-01
Mizoram,1,0,0,2020-05-01
Odisha,143,41,1,2020-05-01
Puducherry,8,5,0,2020-05-01
Punjab,357,90,19,2020-05-01
Rajasthan,2584,836,58,2020-05-01
Tamil Nadu,2323,1258,27,2020-05-01
Telengana,1039,441,26,2020-05-01
Tripura,2,2,0,2020-05-01
Uttarakhand,57,36,0,2020-05-01
Uttar Pradesh,2281,555,41,2020-05-01
West Bengal,795,139,33,2020-05-01
