Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,27,11,0,2020-04-25
Andhra Pradesh,1061,171,31,2020-04-25
Arunachal Pradesh,1,1,0,2020-04-25
Assam,36,19,1,2020-04-25
Bihar,228,46,2,2020-04-25
Chandigarh,28,15,0,2020-04-25
Chhattisgarh,36,30,0,2020-04-25
Delhi,2514,857,53,2020-04-25
Goa,7,7,0,2020-04-25
Gujarat,2815,265,127,2020-04-25
Haryana,272,156,3,2020-04-25
Himachal Pradesh,40,18,1,2020-04-25
Jammu and Kashmir,454,109,5,2020-04-25
Jharkhand,59,9,3,2020-04-25
Karnataka,489,153,18,2020-04-25
Kerala,451,331,4,2020-04-25
Ladakh,20,14,0,2020-04-25
Madhya Pradesh,1952,210,92,2020-04-25
Maharashtra,6817,957,301,2020-04-25
Manipur,2,2,0,2020-04-25
Meghalaya,12,0,1,2020-04-25
Mizoram,1,0,0,2020-04-25
Odisha,94,33,1,2020-04-25
Puducherry,7,3,0,2020-04-25
Punjab,298,67,17,2020-04-25
Rajasthan,2034,230,27,2020-04-25
Tamil Nadu,1755,866,22,2020-04-25
Telengana,984,253,26,2020-04-25
Tripura,2,1,0,2020-04-25
Uttarakhand,48,25,0,2020-04-25
Uttar Pradesh,1778,248,26,2020-04-25
West Bengal,571,103,18,2020-04-25
