Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date
Andaman and Nicobar Islands,33,11,0,2020-04-26
Andhra Pradesh,1097,231,31,2020-04-26
Arunachal Pradesh,1,1,0,2020-04-26
Assam,36,19,1,2020-04-26
Bihar,251,46,2,2020-04-26
Chandigarh,30,17,0,2020-04-26
Chhattisgarh,37,32,0,2020-04-26
Delhi,2625,869,54,2020-04-26
Goa,7,7,0,2020-04-26
Gujarat,3071,282,133,2020-04-26
Haryana,289,176,3,2020-04-26
Himachal Pradesh,40,22,1,2020-04-26
Jammu and Kashmir,494,112,6,2020-04-26
Jharkhand,67,13,3,2020-04-26
Karnataka,501,177,18,2020-04-26
Kerala,458,338,4,2020-04-26
Ladakh,20,14,0,2020-04-26
Madhya Pradesh,2096,210,99,2020-04-26
Maharashtra,7628,1076,323,2020-04-26
Manipur,2,2,0,2020-04-26
Meghalaya,12,0,1,2020-04-26
Mizoram,1,0,0,2020-04-26
Odisha,103,34,1,2020-04-26
Puducherry,7,3,0,2020-04-26
Punjab,298,67,17,2020-04-26
Rajasthan,2083,493,33,2020-04-26
Tamil Nadu,1821,960,23,2020-04-26
Telengana,991,280,26,2020-04-26
Tripura,2,2,0,2020-04-26
Uttarakhand,50,26,0,2020-04-26
Uttar Pradesh,1843,289,29,2020-04-26
West Bengal,611,105,18,2020-04-26
